<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2025.01.09	08:00:00	1.43733	1.43813	1.43704	1.43765	1199	0	14
2025.01.09	09:00:00	1.43764	1.44007	1.43764	1.43994	1721	0	14
2025.01.09	10:00:00	1.43994	1.44041	1.43794	1.43840	2227	0	14
2025.01.09	11:00:00	1.43839	1.43864	1.43770	1.43839	1970	0	14
2025.01.09	12:00:00	1.43839	1.43889	1.43799	1.43847	1557	0	14
2025.01.09	13:00:00	1.43847	1.43966	1.43839	1.43959	1406	0	14
2025.01.09	14:00:00	1.43957	1.43980	1.43893	1.43916	1396	0	14
2025.01.09	15:00:00	1.43916	1.43957	1.43851	1.43943	1839	0	14
2025.01.09	16:00:00	1.43945	1.44034	1.43874	1.43997	1551	0	14
2025.01.09	17:00:00	1.43997	1.44005	1.43872	1.43974	1522	0	14
2025.01.09	18:00:00	1.43973	1.44033	1.43946	1.43947	1248	0	14
2025.01.09	19:00:00	1.43948	1.44001	1.43918	1.43950	1181	0	14
2025.01.09	20:00:00	1.43953	1.43992	1.43875	1.43908	801	0	14
2025.01.09	21:00:00	1.43903	1.43942	1.43895	1.43917	590	0	14
2025.01.09	22:00:00	1.43914	1.43920	1.43874	1.43877	540	0	14
2025.01.09	23:00:00	1.43880	1.43951	1.43872	1.43914	504	0	14
2025.01.10	00:00:00	1.43870	1.43968	1.43870	1.43957	276	0	30
2025.01.10	01:00:00	1.43958	1.44016	1.43926	1.44010	454	0	17
2025.01.10	02:00:00	1.44010	1.44011	1.43963	1.43984	861	0	14
2025.01.10	03:00:00	1.43984	1.44019	1.43951	1.44000	1308	0	14
2025.01.10	04:00:00	1.44003	1.44068	1.43994	1.44053	782	0	14
2025.01.10	05:00:00	1.44053	1.44116	1.44053	1.44108	516	0	14
2025.01.10	06:00:00	1.44108	1.44118	1.44077	1.44114	465	0	14
2025.01.10	07:00:00	1.44114	1.44170	1.44070	1.44160	713	0	14
2025.01.10	08:00:00	1.44161	1.44212	1.44151	1.44191	978	0	14
2025.01.10	09:00:00	1.44192	1.44192	1.44048	1.44050	1326	0	14
2025.01.10	10:00:00	1.44048	1.44106	1.43943	1.44103	1832	0	14
2025.01.10	11:00:00	1.44102	1.44166	1.44072	1.44099	1580	0	14
2025.01.10	12:00:00	1.44099	1.44152	1.44046	1.44069	1489	0	14
2025.01.10	13:00:00	1.44069	1.44096	1.43996	1.44081	1315	0	14
2025.01.10	14:00:00	1.44079	1.44118	1.44026	1.44028	1493	0	14
2025.01.10	15:00:00	1.44028	1.44361	1.43772	1.44025	4593	0	14
2025.01.10	16:00:00	1.44024	1.44188	1.43748	1.43916	5534	0	14
2025.01.10	17:00:00	1.43934	1.44242	1.43933	1.44226	4982	0	14
2025.01.10	18:00:00	1.44227	1.44418	1.44227	1.44362	3901	0	14
2025.01.10	19:00:00	1.44364	1.44418	1.44120	1.44144	2619	0	14
