<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2025.10.13	05:00:00	1.16195	1.16274	1.16166	1.16192	1224	0	7
2025.10.13	06:00:00	1.16193	1.16214	1.16158	1.16204	831	0	7
2025.10.13	07:00:00	1.16204	1.16249	1.16175	1.16200	780	0	7
2025.10.13	08:00:00	1.16200	1.16236	1.16128	1.16145	1283	0	7
2025.10.13	09:00:00	1.16148	1.16297	1.16105	1.16138	2547	0	7
2025.10.13	10:00:00	1.16141	1.16155	1.15972	1.15996	3038	0	7
2025.10.13	11:00:00	1.15996	1.16045	1.15813	1.15852	2497	0	7
2025.10.13	12:00:00	1.15852	1.15978	1.15842	1.15940	1653	0	7
2025.10.13	13:00:00	1.15938	1.15955	1.15812	1.15833	1662	0	7
2025.10.13	14:00:00	1.15833	1.15939	1.15653	1.15681	2603	0	7
2025.10.13	15:00:00	1.15682	1.15763	1.15615	1.15683	2357	0	7
2025.10.13	16:00:00	1.15683	1.15773	1.15644	1.15749	2734	0	7
2025.10.13	17:00:00	1.15749	1.15749	1.15572	1.15609	2834	0	7
2025.10.13	18:00:00	1.15609	1.15751	1.15599	1.15737	1979	0	7
2025.10.13	19:00:00	1.15736	1.15791	1.15694	1.15752	1568	0	7
2025.10.13	20:00:00	1.15752	1.15768	1.15697	1.15730	1084	0	7
2025.10.13	21:00:00	1.15730	1.15773	1.15656	1.15682	1040	0	7
2025.10.13	22:00:00	1.15682	1.15735	1.15657	1.15659	878	0	7
2025.10.13	23:00:00	1.15657	1.15702	1.15648	1.15700	666	0	7
2025.10.14	00:00:00	1.15665	1.15726	1.15664	1.15706	483	0	14
2025.10.14	01:00:00	1.15711	1.15734	1.15674	1.15674	566	0	7
2025.10.14	02:00:00	1.15675	1.15695	1.15633	1.15654	690	0	7
2025.10.14	03:00:00	1.15654	1.15669	1.15549	1.15608	1555	0	7
2025.10.14	04:00:00	1.15609	1.15731	1.15605	1.15704	1520	0	7
2025.10.14	05:00:00	1.15705	1.15760	1.15702	1.15735	916	0	7
2025.10.14	06:00:00	1.15735	1.15817	1.15712	1.15785	969	0	7
2025.10.14	07:00:00	1.15784	1.15924	1.15781	1.15916	1631	0	7
2025.10.14	08:00:00	1.15915	1.15934	1.15823	1.15841	1935	0	7
2025.10.14	09:00:00	1.15841	1.15892	1.15628	1.15698	3614	0	7
2025.10.14	10:00:00	1.15697	1.15743	1.15424	1.15492	3603	0	7
2025.10.14	11:00:00	1.15491	1.15605	1.15454	1.15586	2396	0	7
2025.10.14	12:00:00	1.15586	1.15631	1.15516	1.15547	2134	0	7
2025.10.14	13:00:00	1.15547	1.15594	1.15509	1.15533	2264	0	7
2025.10.14	14:00:00	1.15531	1.15580	1.15461	1.15518	2284	0	7
2025.10.14	15:00:00	1.15518	1.15649	1.15477	1.15553	3081	0	7
2025.10.14	16:00:00	1.15553	1.15827	1.15541	1.15738	4010	0	7
2025.10.14	17:00:00	1.15738	1.15971	1.15687	1.15939	3646	0	7
2025.10.14	18:00:00	1.15939	1.16079	1.15865	1.16070	3229	0	7
2025.10.14	19:00:00	1.16070	1.16146	1.16009	1.16091	3220	0	7
2025.10.14	20:00:00	1.16089	1.16119	1.16015	1.16091	1935	0	7
2025.10.14	21:00:00	1.16091	1.16116	1.16032	1.16047	1516	0	7
2025.10.14	22:00:00	1.16047	1.16106	1.16041	1.16053	1980	0	7
2025.10.14	23:00:00	1.16052	1.16077	1.15995	1.16074	993	0	7
2025.10.15	00:00:00	1.16065	1.16078	1.16065	1.16072	237	0	10
2025.10.15	01:00:00	1.16072	1.16094	1.16032	1.16032	618	0	7
2025.10.15	02:00:00	1.16032	1.16053	1.16017	1.16030	580	0	7
2025.10.15	03:00:00	1.16029	1.16139	1.16015	1.16102	1527	0	7
2025.10.15	04:00:00	1.16102	1.16225	1.16067	1.16188	1756	0	7
2025.10.15	05:00:00	1.16188	1.16257	1.16177	1.16226	1611	0	7
2025.10.15	06:00:00	1.16226	1.16239	1.16183	1.16220	1141	0	7
2025.10.15	07:00:00	1.16220	1.16240	1.16167	1.16181	872	0	7
2025.10.15	08:00:00	1.16181	1.16263	1.16181	1.16195	1240	0	7
2025.10.15	09:00:00	1.16193	1.16383	1.16174	1.16339	2460	0	7
2025.10.15	10:00:00	1.16338	1.16441	1.16291	1.16354	2928	0	7
2025.10.15	11:00:00	1.16355	1.16451	1.16312	1.16324	2505	0	7
2025.10.15	12:00:00	1.16323	1.16393	1.16277	1.16344	2303	0	7
2025.10.15	13:00:00	1.16343	1.16347	1.16203	1.16240	1595	0	7
2025.10.15	14:00:00	1.16240	1.16320	1.16194	1.16198	1933	0	7
2025.10.15	15:00:00	1.16199	1.16273	1.16136	1.16174	2854	0	7
2025.10.15	16:00:00	1.16174	1.16317	1.16103	1.16271	3738	0	7
2025.10.15	17:00:00	1.16272	1.16298	1.16193	1.16243	2563	0	7
2025.10.15	18:00:00	1.16244	1.16467	1.16182	1.16367	3184	0	7
2025.10.15	19:00:00	1.16367	1.16405	1.16282	1.16397	2389	0	7
2025.10.15	20:00:00	1.16397	1.16400	1.16269	1.16291	2363	0	7
2025.10.15	21:00:00	1.16292	1.16371	1.16276	1.16330	1580	0	7
2025.10.15	22:00:00	1.16329	1.16446	1.16328	1.16442	1201	0	7
2025.10.15	23:00:00	1.16441	1.16474	1.16427	1.16470	968	0	7
2025.10.16	00:00:00	1.16430	1.16456	1.16405	1.16425	430	0	11
2025.10.16	01:00:00	1.16432	1.16516	1.16430	1.16459	739	0	7
2025.10.16	02:00:00	1.16461	1.16467	1.16444	1.16456	573	0	7
2025.10.16	03:00:00	1.16456	1.16666	1.16426	1.16629	1962	0	7
2025.10.16	04:00:00	1.16630	1.16750	1.16609	1.16696	2063	0	7
2025.10.16	05:00:00	1.16697	1.16745	1.16639	1.16659	1497	0	7
2025.10.16	06:00:00	1.16659	1.16669	1.16613	1.16618	1029	0	7
2025.10.16	07:00:00	1.16618	1.16619	1.16555	1.16558	841	0	7
2025.10.16	08:00:00	1.16558	1.16612	1.16536	1.16597	1405	0	7
2025.10.16	09:00:00	1.16597	1.16677	1.16519	1.16536	2386	0	7
2025.10.16	10:00:00	1.16538	1.16565	1.16428	1.16519	2983	0	7
2025.10.16	11:00:00	1.16516	1.16595	1.16484	1.16586	2229	0	7
2025.10.16	12:00:00	1.16586	1.16637	1.16521	1.16580	1961	0	7
2025.10.16	13:00:00	1.16580	1.16627	1.16528	1.16551	1790	0	7
2025.10.16	14:00:00	1.16551	1.16561	1.16460	1.16535	2346	0	7
2025.10.16	15:00:00	1.16537	1.16613	1.16488	1.16602	2734	0	7
2025.10.16	16:00:00	1.16602	1.16640	1.16498	1.16573	3337	0	7
2025.10.16	17:00:00	1.16573	1.16777	1.16533	1.16769	2998	0	7
2025.10.16	18:00:00	1.16768	1.16779	1.16609	1.16642	2656	0	7
2025.10.16	19:00:00	1.16641	1.16788	1.16640	1.16767	3284	0	7
2025.10.16	20:00:00	1.16767	1.16934	1.16765	1.16880	2837	0	7
2025.10.16	21:00:00	1.16880	1.16931	1.16801	1.16891	2183	0	7
2025.10.16	22:00:00	1.16893	1.16938	1.16868	1.16888	1970	0	7
