<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2025.08.18	05:00:00	0.86310	0.86354	0.86308	0.86353	1248	0	8
2025.08.18	06:00:00	0.86353	0.86362	0.86317	0.86329	1171	0	8
2025.08.18	07:00:00	0.86329	0.86339	0.86318	0.86321	722	0	8
2025.08.18	08:00:00	0.86321	0.86324	0.86285	0.86314	804	0	8
2025.08.18	09:00:00	0.86313	0.86372	0.86307	0.86348	1770	0	8
2025.08.18	10:00:00	0.86346	0.86356	0.86266	0.86277	2537	0	8
2025.08.18	11:00:00	0.86275	0.86281	0.86205	0.86231	2514	0	8
2025.08.18	12:00:00	0.86231	0.86265	0.86183	0.86261	1894	0	8
2025.08.18	13:00:00	0.86261	0.86285	0.86229	0.86276	1492	0	8
2025.08.18	14:00:00	0.86276	0.86284	0.86225	0.86234	1452	0	8
2025.08.18	15:00:00	0.86235	0.86247	0.86182	0.86207	1805	0	8
2025.08.18	16:00:00	0.86206	0.86255	0.86188	0.86254	1947	0	8
2025.08.18	17:00:00	0.86254	0.86298	0.86237	0.86293	2403	0	8
2025.08.18	18:00:00	0.86293	0.86334	0.86278	0.86296	1690	0	8
2025.08.18	19:00:00	0.86295	0.86305	0.86253	0.86293	1468	0	8
2025.08.18	20:00:00	0.86294	0.86346	0.86272	0.86324	1240	0	8
2025.08.18	21:00:00	0.86324	0.86369	0.86323	0.86331	1087	0	8
2025.08.18	22:00:00	0.86331	0.86380	0.86327	0.86379	1285	0	8
2025.08.18	23:00:00	0.86379	0.86396	0.86345	0.86347	1012	0	8
2025.08.19	00:00:00	0.86190	0.86338	0.86190	0.86297	983	0	29
2025.08.19	01:00:00	0.86297	0.86392	0.86297	0.86382	799	0	8
2025.08.19	02:00:00	0.86381	0.86384	0.86362	0.86373	553	0	8
2025.08.19	03:00:00	0.86374	0.86382	0.86326	0.86338	1408	0	8
2025.08.19	04:00:00	0.86338	0.86358	0.86293	0.86315	1659	0	8
2025.08.19	05:00:00	0.86314	0.86327	0.86302	0.86321	1143	0	8
2025.08.19	06:00:00	0.86321	0.86340	0.86311	0.86324	874	0	8
2025.08.19	07:00:00	0.86324	0.86357	0.86322	0.86339	928	0	8
2025.08.19	08:00:00	0.86339	0.86366	0.86333	0.86333	1021	0	8
2025.08.19	09:00:00	0.86333	0.86383	0.86313	0.86381	1532	0	8
2025.08.19	10:00:00	0.86381	0.86408	0.86356	0.86407	1882	0	8
2025.08.19	11:00:00	0.86408	0.86408	0.86328	0.86350	1534	0	8
2025.08.19	12:00:00	0.86348	0.86413	0.86332	0.86402	1877	0	8
2025.08.19	13:00:00	0.86401	0.86440	0.86379	0.86436	1403	0	8
2025.08.19	14:00:00	0.86435	0.86455	0.86408	0.86419	1239	0	8
2025.08.19	15:00:00	0.86419	0.86456	0.86390	0.86419	2117	0	8
2025.08.19	16:00:00	0.86419	0.86475	0.86384	0.86418	2269	0	8
2025.08.19	17:00:00	0.86417	0.86475	0.86348	0.86440	2022	0	8
2025.08.19	18:00:00	0.86440	0.86454	0.86387	0.86401	1873	0	8
2025.08.19	19:00:00	0.86402	0.86443	0.86401	0.86407	1567	0	8
2025.08.19	20:00:00	0.86407	0.86438	0.86374	0.86392	1058	0	8
2025.08.19	21:00:00	0.86391	0.86417	0.86363	0.86366	905	0	8
2025.08.19	22:00:00	0.86367	0.86370	0.86330	0.86331	842	0	8
2025.08.19	23:00:00	0.86331	0.86341	0.86304	0.86309	751	0	8
2025.08.20	00:00:00	0.86303	0.86344	0.86293	0.86317	1139	0	13
2025.08.20	01:00:00	0.86319	0.86337	0.86313	0.86337	618	0	8
2025.08.20	02:00:00	0.86337	0.86338	0.86311	0.86325	1295	0	8
2025.08.20	03:00:00	0.86325	0.86354	0.86310	0.86336	1760	0	8
2025.08.20	04:00:00	0.86336	0.86344	0.86294	0.86296	1462	0	8
2025.08.20	05:00:00	0.86296	0.86345	0.86294	0.86328	1591	0	8
2025.08.20	06:00:00	0.86329	0.86348	0.86326	0.86343	927	0	8
2025.08.20	07:00:00	0.86343	0.86346	0.86327	0.86341	1176	0	8
2025.08.20	08:00:00	0.86340	0.86348	0.86285	0.86304	859	0	8
2025.08.20	09:00:00	0.86304	0.86304	0.86081	0.86240	3010	0	8
2025.08.20	10:00:00	0.86240	0.86269	0.86196	0.86200	2753	0	8
2025.08.20	11:00:00	0.86199	0.86242	0.86184	0.86197	2139	0	8
2025.08.20	12:00:00	0.86198	0.86255	0.86172	0.86247	1585	0	8
2025.08.20	13:00:00	0.86250	0.86362	0.86247	0.86306	1652	0	8
2025.08.20	14:00:00	0.86306	0.86412	0.86306	0.86412	1494	0	8
2025.08.20	15:00:00	0.86412	0.86528	0.86404	0.86519	2565	0	8
2025.08.20	16:00:00	0.86519	0.86541	0.86481	0.86499	2111	0	8
2025.08.20	17:00:00	0.86498	0.86616	0.86487	0.86562	2853	0	8
2025.08.20	18:00:00	0.86562	0.86629	0.86542	0.86605	2144	0	8
2025.08.20	19:00:00	0.86605	0.86646	0.86598	0.86618	1626	0	8
2025.08.20	20:00:00	0.86618	0.86670	0.86603	0.86647	1492	0	8
2025.08.20	21:00:00	0.86645	0.86663	0.86616	0.86636	1355	0	8
2025.08.20	22:00:00	0.86636	0.86659	0.86601	0.86607	876	0	8
2025.08.20	23:00:00	0.86607	0.86615	0.86567	0.86579	715	0	8
2025.08.21	00:00:00	0.86491	0.86603	0.86465	0.86564	1225	0	21
2025.08.21	01:00:00	0.86571	0.86608	0.86571	0.86599	565	0	8
2025.08.21	02:00:00	0.86599	0.86615	0.86520	0.86525	859	0	8
2025.08.21	03:00:00	0.86528	0.86558	0.86527	0.86550	1336	0	8
2025.08.21	04:00:00	0.86550	0.86567	0.86522	0.86533	1540	0	8
2025.08.21	05:00:00	0.86531	0.86584	0.86528	0.86582	1045	0	8
2025.08.21	06:00:00	0.86584	0.86585	0.86565	0.86566	865	0	8
2025.08.21	07:00:00	0.86565	0.86581	0.86552	0.86571	561	0	8
2025.08.21	08:00:00	0.86570	0.86592	0.86564	0.86592	891	0	8
2025.08.21	09:00:00	0.86594	0.86600	0.86485	0.86499	1714	0	8
2025.08.21	10:00:00	0.86499	0.86655	0.86490	0.86642	2522	0	8
2025.08.21	11:00:00	0.86640	0.86647	0.86500	0.86551	1875	0	8
2025.08.21	12:00:00	0.86551	0.86553	0.86471	0.86488	1526	0	8
2025.08.21	13:00:00	0.86489	0.86522	0.86455	0.86463	1942	0	8
2025.08.21	14:00:00	0.86463	0.86553	0.86461	0.86519	2057	0	8
2025.08.21	15:00:00	0.86520	0.86643	0.86456	0.86617	2763	0	8
2025.08.21	16:00:00	0.86616	0.86619	0.86500	0.86554	3009	0	8
2025.08.21	17:00:00	0.86554	0.86559	0.86456	0.86515	2802	0	8
2025.08.21	18:00:00	0.86515	0.86562	0.86488	0.86510	3037	0	8
2025.08.21	19:00:00	0.86510	0.86558	0.86508	0.86528	1326	0	8
2025.08.21	20:00:00	0.86528	0.86561	0.86522	0.86536	1058	0	8
