<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2025.08.15	23:00:00	0.80647	0.80688	0.80611	0.80623	1240	0	12
2025.08.18	00:00:00	0.80432	0.80603	0.80432	0.80579	229	0	57
2025.08.18	01:00:00	0.80584	0.80634	0.80579	0.80620	958	0	12
2025.08.18	02:00:00	0.80620	0.80684	0.80618	0.80648	805	0	12
2025.08.18	03:00:00	0.80647	0.80685	0.80623	0.80655	1539	0	13
2025.08.18	04:00:00	0.80655	0.80692	0.80595	0.80600	1294	0	12
2025.08.18	05:00:00	0.80600	0.80656	0.80588	0.80643	903	0	13
2025.08.18	06:00:00	0.80644	0.80648	0.80605	0.80615	1099	0	12
2025.08.18	07:00:00	0.80614	0.80619	0.80580	0.80590	1005	0	12
2025.08.18	08:00:00	0.80591	0.80626	0.80579	0.80587	1145	0	12
2025.08.18	09:00:00	0.80594	0.80633	0.80569	0.80571	1327	0	12
2025.08.18	10:00:00	0.80568	0.80690	0.80541	0.80681	1690	0	12
2025.08.18	11:00:00	0.80681	0.80780	0.80672	0.80709	1926	0	12
2025.08.18	12:00:00	0.80708	0.80766	0.80682	0.80731	1531	0	12
2025.08.18	13:00:00	0.80733	0.80738	0.80670	0.80710	1128	0	12
2025.08.18	14:00:00	0.80711	0.80734	0.80652	0.80721	1299	0	12
2025.08.18	15:00:00	0.80721	0.80803	0.80680	0.80734	1506	0	12
2025.08.18	16:00:00	0.80734	0.80794	0.80668	0.80705	1682	0	12
2025.08.18	17:00:00	0.80707	0.80746	0.80631	0.80706	2165	0	12
2025.08.18	18:00:00	0.80706	0.80746	0.80646	0.80672	1623	0	12
2025.08.18	19:00:00	0.80674	0.80747	0.80670	0.80722	1264	0	12
2025.08.18	20:00:00	0.80721	0.80766	0.80696	0.80764	897	0	12
2025.08.18	21:00:00	0.80765	0.80775	0.80708	0.80749	798	0	12
2025.08.18	22:00:00	0.80750	0.80750	0.80691	0.80702	706	0	12
2025.08.18	23:00:00	0.80703	0.80743	0.80692	0.80719	574	0	12
2025.08.19	00:00:00	0.80686	0.80730	0.80677	0.80694	573	0	34
2025.08.19	01:00:00	0.80719	0.80729	0.80633	0.80718	536	0	14
2025.08.19	02:00:00	0.80718	0.80759	0.80716	0.80734	548	0	14
2025.08.19	03:00:00	0.80733	0.80760	0.80714	0.80731	1106	0	12
2025.08.19	04:00:00	0.80731	0.80851	0.80713	0.80781	1496	0	12
2025.08.19	05:00:00	0.80782	0.80795	0.80735	0.80756	1212	0	12
2025.08.19	06:00:00	0.80755	0.80763	0.80701	0.80740	1108	0	13
2025.08.19	07:00:00	0.80741	0.80756	0.80710	0.80712	882	0	14
2025.08.19	08:00:00	0.80711	0.80746	0.80675	0.80723	879	0	12
2025.08.19	09:00:00	0.80723	0.80749	0.80603	0.80604	1138	0	12
2025.08.19	10:00:00	0.80603	0.80638	0.80532	0.80577	1647	0	12
2025.08.19	11:00:00	0.80577	0.80624	0.80572	0.80594	1129	0	12
2025.08.19	12:00:00	0.80594	0.80617	0.80556	0.80570	1031	0	12
2025.08.19	13:00:00	0.80570	0.80572	0.80478	0.80506	1083	0	12
2025.08.19	14:00:00	0.80506	0.80567	0.80467	0.80532	905	0	12
